ITEMS,SALES AMOUNT,QUANTITY
111,4939.0,772.0
1111,1590.0,232.0
7-Up,403.92,216.0
Almond Croissant,5017.5,1115.0
Almond milk,588.75,785.0
Americano L,1830.75,327.0
Americano M,2985.5,593.0
Americano S,533.0,124.0
Apple Juice,2120.58,567.0
Avocado Toast,27376.25,1799.0
BLT,698.0,52.0
BLUEBERRY,96.0,64.0
Balsamic Dressing,0.0,123.0
Banana,187.85999999999999,202.0
Banana Nut Bread,9360.0,2340.0
Be Box,110.0,4.0
Beechwood Burger,9973.099999999999,631.0
Beechwood Salad,10608.0,690.0
Beechwood wrap,12398.0,848.0
Blue velvet cupcake,760.0,190.0
Boba Milk tea,6745.5,1029.0
Boba Taro,4654.0,708.0
Boba Ube,3251.0,403.0
Bountiful Yogurt Burst,6412.25,483.0
Boylan Ginger Ale,500.5,143.0
Boyland Seltzer,252.0,72.0
Brownie,640.0,160.0
Bulgogi Bowl,23739.0,1454.0
Burrito Bowl,22299.0,1208.0
Buttermilk Biscuit,52.0,20.0
Caesar Dressing,0.0,149.0
Cajun Dressing,0.0,4.0
Cajun Salad,11643.0,726.0
Cajun chicken Wrap,24413.25,1562.0
Cali. Veggie Burger,9753.15,687.0
California Omelet,18486.899999999998,1218.0
Cappccino S,1646.0,320.0
Caramel Macchiato S,758.75,134.0
Carrot Spice layer,1939.0,277.0
Chai Tea S,443.0,76.0
Cheese Burger,15109.4,1025.0
Cheese Danish,4260.0,1065.0
Chicken Club,47053.2,3347.0
Chicken Quesadilla,16278.4,1081.0
Chicken Sandwich,14407.300000000001,957.0
Chili with Chips,580.0,48.0
Chipotle mayo,302.0,302.0
Chocolate Chip Cookie,6134.799999999999,2191.0
Chocolate Croissant,4908.0,1227.0
Chocolate Milk,164.0,41.0
Chocolate Mousses,2583.0,369.0
Chocolate Twist,4092.0,1023.0
Cinnamon Bun,4376.0,1094.0
CocoFudge cupcake,780.0,195.0
Coconut Milk,8.25,11.0
Coconut Water 16oz,1734.0,299.0
Coffee Cake,6598.0,1649.0
Coffee Refill,374.0,187.0
Coffee S,1057.0,376.0
Coke,2071.96,1108.0
Cortado,3370.0,741.0
Cup of ice,19.0,19.0
Devils Choice Waffle,256.0,16.0
Devils Pancakes,448.0,28.0
Diet Coke,2425.39,1297.0
Dine In Cafe Mocha,593.75,95.0
Dine in Americano,1411.0,256.0
Dine in Cappuccino,5225.5,854.0
Dine in Chai Latte,326.25,53.0
Dine in Coffee,2238.75,738.0
Dine in Ginger Chai,120.0,20.0
